timestamp, q1, q2, q3, q4, q5, q6, q7, Extra1, Extra2
2024-08-01 15:33:12.676236, 0.000134461, -0.785264, 5.28771e-05, -2.35583, 0.000351015, 1.57129, 0.785808, 0.01, 0.01
2024-08-01 15:33:12.677238, 0.000134643, -0.785256, 6.06023e-05, -2.35583, 0.000352269, 1.5713, 0.785807, 0.01, 0.01
2024-08-01 15:33:12.678264, 0.000132573, -0.785256, 5.27836e-05, -2.35583, 0.000350415, 1.57129, 0.785814, 0.01, 0.01
2024-08-01 15:33:12.679258, 0.000134013, -0.785261, 6.05711e-05, -2.35582, 0.000352374, 1.5713, 0.785814, 0.01, 0.01
2024-08-01 15:33:12.680304, 0.000129204, -0.785266, 5.52788e-05, -2.35583, 0.000351366, 1.5713, 0.785813, 0.01, 0.01
2024-08-01 15:33:12.681302, 0.000135029, -0.785264, 5.5278e-05, -2.35582, 0.000350453, 1.5713, 0.785815, 0.01, 0.01
2024-08-01 15:33:12.682220, 0.000136502, -0.785259, 5.80617e-05, -2.35582, 0.000349437, 1.5713, 0.785809, 0.01, 0.01
2024-08-01 15:33:12.683228, 0.000129573, -0.785261, 5.80616e-05, -2.35583, 0.000349437, 1.57129, 0.785811, 0.01, 0.01
2024-08-01 15:33:12.684236, 0.000126146, -0.785256, 6.01921e-05, -2.35582, 0.000349437, 1.5713, 0.785809, 0.01, 0.01
2024-08-01 15:33:12.685227, 0.000132339, -0.785259, 5.87718e-05, -2.35583, 0.00035137, 1.57129, 0.785809, 0.01, 0.01
2024-08-01 15:33:12.686235, 0.000133935, -0.785266, 6.0804e-05, -2.35583, 0.000350455, 1.57129, 0.785816, 0.01, 0.01
2024-08-01 15:33:12.687229, 0.000131683, -0.785264, 5.53564e-05, -2.35583, 0.000349437, 1.5713, 0.785815, 0.01, 0.01
2024-08-01 15:33:12.688223, 0.000134645, -0.785259, 6.05935e-05, -2.35583, 0.00035137, 1.57129, 0.785812, 0.01, 0.01
2024-08-01 15:33:12.689228, 0.00013721, -0.785261, 5.80704e-05, -2.35583, 0.000350455, 1.5713, 0.785813, 0.01, 0.01
2024-08-01 15:33:12.690228, 0.000134724, -0.785264, 5.80645e-05, -2.35583, 0.00035137, 1.57129, 0.785809, 0.01, 0.01
2024-08-01 15:33:12.691247, 0.000131946, -0.785259, 5.52785e-05, -2.35583, 0.000350455, 1.57129, 0.785809, 0.01, 0.01
