Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
74,2024-08-19 15:18:17.288466,2024-08-19 15:18:17.708423,419.9616,2024-08-19 15:18:17.708428,2024-08-19 15:18:18.021700,313.2761,63854.9787
75,2024-08-19 15:18:18.021717,2024-08-19 15:18:18.467780,446.0676,2024-08-19 15:18:18.467785,2024-08-19 15:18:18.769375,301.5935,64602.6533
76,2024-08-19 15:18:18.769391,2024-08-19 15:18:19.311742,542.3559,2024-08-19 15:18:19.311747,2024-08-19 15:18:19.640558,328.8153,65473.8368
77,2024-08-19 15:18:19.640574,2024-08-19 15:18:20.063195,422.6255,2024-08-19 15:18:20.063200,2024-08-19 15:18:20.389293,326.0972,66222.5717
78,2024-08-19 15:18:20.389316,2024-08-19 15:18:20.803472,414.1601,2024-08-19 15:18:20.803477,2024-08-19 15:18:21.125032,321.5593,66958.3106
79,2024-08-19 15:18:21.125048,2024-08-19 15:18:21.538099,413.0544,2024-08-19 15:18:21.538103,2024-08-19 15:18:21.843320,305.2213,67676.5991
80,2024-08-19 15:18:21.843337,2024-08-19 15:18:22.254059,410.7251,2024-08-19 15:18:22.254064,2024-08-19 15:18:22.561193,307.1328,68394.4712
81,2024-08-19 15:18:22.561213,2024-08-19 15:18:23.014292,453.0825,2024-08-19 15:18:23.014296,2024-08-19 15:18:23.312999,298.7072,69146.2779
82,2024-08-19 15:18:23.313016,2024-08-19 15:18:23.723229,410.2169,2024-08-19 15:18:23.723233,2024-08-19 15:18:24.018526,295.2958,69851.8039
83,2024-08-19 15:18:24.018541,2024-08-19 15:18:24.426834,408.2973,2024-08-19 15:18:24.426839,2024-08-19 15:18:24.733534,306.6994,70566.8128
84,2024-08-19 15:18:24.733553,2024-08-19 15:18:25.206274,472.7241,2024-08-19 15:18:25.206278,2024-08-19 15:18:25.510156,303.8818,71343.4349
85,2024-08-19 15:18:25.510176,2024-08-19 15:18:25.925008,414.836,2024-08-19 15:18:25.925013,2024-08-19 15:18:26.236703,311.6939,72069.9811
86,2024-08-19 15:18:26.236720,2024-08-19 15:18:26.663924,427.2083,2024-08-19 15:18:26.663929,2024-08-19 15:18:26.990674,326.7488,72823.9524
87,2024-08-19 15:18:26.990689,2024-08-19 15:18:27.442551,451.8659,2024-08-19 15:18:27.442556,2024-08-19 15:18:27.756075,313.5223,73589.3525
88,2024-08-19 15:18:27.756092,2024-08-19 15:18:28.186948,430.8596,2024-08-19 15:18:28.186952,2024-08-19 15:18:28.491462,304.5139,74324.7407
89,2024-08-19 15:18:28.491479,2024-08-19 15:18:28.952983,461.5077,2024-08-19 15:18:28.952987,2024-08-19 15:18:29.256766,303.7828,75090.0446
90,2024-08-19 15:18:29.256783,2024-08-19 15:18:29.697161,440.3816,2024-08-19 15:18:29.697165,2024-08-19 15:18:29.992718,295.5574,75825.9974
91,2024-08-19 15:18:29.992736,2024-08-19 15:18:30.442686,449.9542,2024-08-19 15:18:30.442691,2024-08-19 15:18:30.744747,302.0606,76578.0262
92,2024-08-19 15:18:30.744764,2024-08-19 15:18:31.166678,421.9183,2024-08-19 15:18:31.166683,2024-08-19 15:18:31.462692,296.0131,77295.9707
93,2024-08-19 15:18:31.462713,2024-08-19 15:18:31.884280,421.5717,2024-08-19 15:18:31.884285,2024-08-19 15:18:32.176778,292.4955,78010.0555
94,2024-08-19 15:18:32.176793,2024-08-19 15:18:32.576476,399.6862,2024-08-19 15:18:32.576481,2024-08-19 15:18:32.877630,301.1533,78710.9088
95,2024-08-19 15:18:32.877647,2024-08-19 15:18:33.428344,550.7014,2024-08-19 15:18:33.428349,2024-08-19 15:18:33.732535,304.1901,79565.8134
96,2024-08-19 15:18:33.732579,2024-08-19 15:18:34.222296,489.7211,2024-08-19 15:18:34.222301,2024-08-19 15:18:34.529301,307.0044,80362.5795
97,2024-08-19 15:18:34.529317,2024-08-19 15:18:34.951095,421.7819,2024-08-19 15:18:34.951099,2024-08-19 15:18:35.259397,308.3014,81092.6753
98,2024-08-19 15:18:35.259417,2024-08-19 15:18:35.682038,422.6249,2024-08-19 15:18:35.682042,2024-08-19 15:18:35.982888,300.8497,81816.1669
99,2024-08-19 15:18:35.982909,2024-08-19 15:18:36.429239,446.3334,2024-08-19 15:18:36.429243,2024-08-19 15:18:36.733732,304.4934,82567.0112
100,2024-08-19 15:18:36.733749,2024-08-19 15:18:37.138639,404.8936,2024-08-19 15:18:37.138643,2024-08-19 15:18:37.435660,297.0204,83268.9384
