ts_in,ts_out,delay,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-14 18:37:46.7222193,2024-08-14 18:37:46.7223863,0.167,0.000126,-0.785199,0.000091,-2.355717,0.000373,1.571279,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7343415,2024-08-14 18:37:46.7345119,0.1704,0.000123,-0.785197,0.000096,-2.355714,0.000373,1.571277,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7424067,2024-08-14 18:37:46.7425920,0.1853,0.000123,-0.785196,0.000093,-2.355717,0.000372,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7545219,2024-08-14 18:37:46.7546962,0.1743,0.000125,-0.785194,0.000096,-2.355717,0.000375,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7625708,2024-08-14 18:37:46.7627208,0.15,0.000123,-0.785193,0.000089,-2.355719,0.000373,1.571278,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7747129,2024-08-14 18:37:46.7749147,0.2018,0.000123,-0.785202,0.000095,-2.355719,0.000372,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7827709,2024-08-14 18:37:46.7829645,0.1936,0.000125,-0.785194,0.000094,-2.355714,0.000373,1.571279,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:46.7948746,2024-08-14 18:37:46.7950586,0.184,0.000125,-0.785196,0.000093,-2.355717,0.000378,1.571278,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8029288,2024-08-14 18:37:46.8031065,0.1777,0.000120,-0.785193,0.000088,-2.355714,0.000377,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8150474,2024-08-14 18:37:46.8152243,0.1769,0.000122,-0.785192,0.000096,-2.355719,0.000374,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8231151,2024-08-14 18:37:46.8233130,0.1979,0.000124,-0.785192,0.000093,-2.355714,0.000373,1.571280,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8352284,2024-08-14 18:37:46.8353988,0.1704,0.000125,-0.785193,0.000096,-2.355717,0.000373,1.571279,0.785882,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8432765,2024-08-14 18:37:46.8434389,0.1624,0.000123,-0.785191,0.000094,-2.355717,0.000377,1.571278,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8554030,2024-08-14 18:37:46.8555915,0.1885,0.000122,-0.785199,0.000093,-2.355719,0.000372,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8634674,2024-08-14 18:37:46.8636711,0.2037,0.000122,-0.785194,0.000093,-2.355717,0.000373,1.571277,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8756066,2024-08-14 18:37:46.8758280,0.2214,0.000120,-0.785194,0.000091,-2.355717,0.000376,1.571279,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8836514,2024-08-14 18:37:46.8838271,0.1757,0.000125,-0.785193,0.000098,-2.355714,0.000375,1.571279,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.8938184,2024-08-14 18:37:46.8940041,0.1857,0.000123,-0.785198,0.000090,-2.355717,0.000373,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9018889,2024-08-14 18:37:46.9021030,0.2141,0.000122,-0.785196,0.000096,-2.355717,0.000375,1.571280,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9140012,2024-08-14 18:37:46.9141670,0.1658,0.000122,-0.785202,0.000090,-2.355717,0.000373,1.571278,0.785876,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9220670,2024-08-14 18:37:46.9222633,0.1963,0.000125,-0.785194,0.000096,-2.355719,0.000374,1.571277,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9341942,2024-08-14 18:37:46.9343925,0.1983,0.000120,-0.785194,0.000093,-2.355717,0.000373,1.571277,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9422369,2024-08-14 18:37:46.9423987,0.1618,0.000128,-0.785196,0.000096,-2.355721,0.000375,1.571279,0.785874,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9543705,2024-08-14 18:37:46.9545652,0.1947,0.000123,-0.785194,0.000098,-2.355712,0.000373,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9624160,2024-08-14 18:37:46.9625838,0.1678,0.000120,-0.785196,0.000098,-2.355714,0.000376,1.571277,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9745494,2024-08-14 18:37:46.9747405,0.1911,0.000122,-0.785193,0.000090,-2.355717,0.000373,1.571279,0.785882,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9825997,2024-08-14 18:37:46.9827741,0.1744,0.000119,-0.785196,0.000096,-2.355714,0.000372,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:46.9947224,2024-08-14 18:37:46.9949016,0.1792,0.000125,-0.785196,0.000093,-2.355717,0.000375,1.571275,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0027794,2024-08-14 18:37:47.0029543,0.1749,0.000122,-0.785196,0.000091,-2.355711,0.000373,1.571280,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0148939,2024-08-14 18:37:47.0150636,0.1697,0.000123,-0.785194,0.000093,-2.355719,0.000373,1.571280,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0229650,2024-08-14 18:37:47.0231902,0.2252,0.000123,-0.785194,0.000096,-2.355714,0.000377,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0350943,2024-08-14 18:37:47.0353181,0.2238,0.000125,-0.785194,0.000088,-2.355714,0.000373,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0431349,2024-08-14 18:37:47.0432945,0.1596,0.000122,-0.785203,0.000093,-2.355714,0.000372,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0552729,2024-08-14 18:37:47.0554713,0.1984,0.000126,-0.785198,0.000096,-2.355717,0.000373,1.571279,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0633130,2024-08-14 18:37:47.0634704,0.1574,0.000127,-0.785193,0.000093,-2.355717,0.000375,1.571280,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0754417,2024-08-14 18:37:47.0756401,0.1984,0.000122,-0.785194,0.000095,-2.355714,0.000372,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0835148,2024-08-14 18:37:47.0837260,0.2112,0.000122,-0.785191,0.000090,-2.355717,0.000372,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.0956160,2024-08-14 18:37:47.0957916,0.1756,0.000127,-0.785200,0.000096,-2.355714,0.000373,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1036935,2024-08-14 18:37:47.1038648,0.1713,0.000122,-0.785198,0.000095,-2.355717,0.000374,1.571278,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1137502,2024-08-14 18:37:47.1138926,0.1424,0.000126,-0.785194,0.000098,-2.355711,0.000375,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1218169,2024-08-14 18:37:47.1219797,0.1628,0.000122,-0.785194,0.000093,-2.355717,0.000376,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1339418,2024-08-14 18:37:47.1341214,0.1796,0.000128,-0.785197,0.000096,-2.355714,0.000373,1.571277,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1419889,2024-08-14 18:37:47.1421290,0.1401,0.000125,-0.785193,0.000090,-2.355714,0.000373,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1541065,2024-08-14 18:37:47.1542559,0.1494,0.000122,-0.785198,0.000093,-2.355717,0.000373,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1621652,2024-08-14 18:37:47.1623061,0.1409,0.000120,-0.785192,0.000092,-2.355717,0.000372,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1742776,2024-08-14 18:37:47.1744191,0.1415,0.000126,-0.785196,0.000096,-2.355714,0.000373,1.571278,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1823656,2024-08-14 18:37:47.1825318,0.1662,0.000120,-0.785196,0.000093,-2.355717,0.000377,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:47.1944859,2024-08-14 18:37:47.1946262,0.1403,0.000125,-0.785196,0.000090,-2.355717,0.000373,1.571280,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2025528,2024-08-14 18:37:47.2027136,0.1608,0.000122,-0.785193,0.000093,-2.355714,0.000372,1.571280,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2146853,2024-08-14 18:37:47.2148416,0.1563,0.000124,-0.785194,0.000095,-2.355719,0.000373,1.571279,0.785879,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2227391,2024-08-14 18:37:47.2228798,0.1407,0.000122,-0.785191,0.000093,-2.355717,0.000373,1.571279,0.785882,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2349884,2024-08-14 18:37:47.2351571,0.1687,0.000122,-0.785194,0.000093,-2.355717,0.000378,1.571280,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2430449,2024-08-14 18:37:47.2432011,0.1562,0.000125,-0.785196,0.000096,-2.355714,0.000374,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2552324,2024-08-14 18:37:47.2554151,0.1827,0.000120,-0.785202,0.000095,-2.355719,0.000373,1.571280,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2633411,2024-08-14 18:37:47.2634999,0.1588,0.000121,-0.785194,0.000096,-2.355719,0.000371,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2755888,2024-08-14 18:37:47.2757712,0.1824,0.000122,-0.785194,0.000093,-2.355717,0.000373,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2837102,2024-08-14 18:37:47.2838822,0.172,0.000123,-0.785196,0.000096,-2.355717,0.000376,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.2938722,2024-08-14 18:37:47.2940232,0.151,0.000122,-0.785194,0.000096,-2.355719,0.000373,1.571278,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3019623,2024-08-14 18:37:47.3021479,0.1856,0.000125,-0.785194,0.000090,-2.355719,0.000373,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3141708,2024-08-14 18:37:47.3143246,0.1538,0.000128,-0.785194,0.000096,-2.355714,0.000375,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3222780,2024-08-14 18:37:47.3224155,0.1375,0.000125,-0.785191,0.000091,-2.355714,0.000374,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3344816,2024-08-14 18:37:47.3346153,0.1337,0.000127,-0.785194,0.000093,-2.355714,0.000375,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3425699,2024-08-14 18:37:47.3426939,0.124,0.000120,-0.785195,0.000098,-2.355717,0.000373,1.571277,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3547793,2024-08-14 18:37:47.3549122,0.1329,0.000127,-0.785204,0.000096,-2.355714,0.000373,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3629070,2024-08-14 18:37:47.3630582,0.1512,0.000125,-0.785194,0.000093,-2.355714,0.000372,1.571279,0.785882,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3751459,2024-08-14 18:37:47.3752771,0.1312,0.000120,-0.785194,0.000093,-2.355714,0.000373,1.571277,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3832206,2024-08-14 18:37:47.3833415,0.1209,0.000125,-0.785197,0.000096,-2.355714,0.000375,1.571277,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:47.3954454,2024-08-14 18:37:47.3955654,0.12,0.000118,-0.785193,0.000095,-2.355719,0.000373,1.571279,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:47.4035741,2024-08-14 18:37:47.4037312,0.1571,0.000120,-0.785194,0.000093,-2.355711,0.000378,1.571279,0.785879,0.0100000000000000,0.0100000
