ts_in,ts_out,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-12 19:34:26.4273071,2024-08-12 19:34:26.4274163,0.000042,-0.785361,-0.000007,-2.356421,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.4394342,2024-08-12 19:34:26.4395512,0.000037,-0.785358,-0.000010,-2.356416,-0.000116,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:26.4474962,2024-08-12 19:34:26.4476032,0.000040,-0.785357,-0.000010,-2.356421,-0.000118,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:26.4596207,2024-08-12 19:34:26.4597471,0.000042,-0.785358,-0.000005,-2.356421,-0.000117,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:26.4676824,2024-08-12 19:34:26.4677875,0.000043,-0.785358,-0.000005,-2.356418,-0.000117,1.570627,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:26.4797996,2024-08-12 19:34:26.4799048,0.000040,-0.785358,-0.000007,-2.356418,-0.000116,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.4878577,2024-08-12 19:34:26.4879524,0.000045,-0.785361,-0.000007,-2.356413,-0.000117,1.570624,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.4999752,2024-08-12 19:34:26.5000812,0.000043,-0.785369,-0.000007,-2.356418,-0.000115,1.570623,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:26.5080315,2024-08-12 19:34:26.5081288,0.000045,-0.785356,-0.000010,-2.356418,-0.000117,1.570624,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:26.5201612,2024-08-12 19:34:26.5202783,0.000043,-0.785363,-0.000010,-2.356413,-0.000116,1.570623,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:26.5282233,2024-08-12 19:34:26.5283370,0.000043,-0.785361,-0.000010,-2.356421,-0.000116,1.570625,0.785592,0.010000000000000,0.010000
